,edad,frecuencia_viaje_anual,distancia_media_km,antelacion_media_dias,gasto_anual_eur,retrasos_ultimos_12m,cancelaciones_ultimos_12m,equipaje_medio_por_vuelo,no_shows_ultimos_12m,satisfaccion_media,quejas_ultimos_12m,antiguedad_programa_meses,vuelos_largo_radio_anual,vuelos_negocio_anual,uso_codigo_promocional,numero_maletas_max_12m,dia_preferido_viaje,temperatura_ciudad_residencia
edad,1.0,-0.0005,-0.013,0.011,0.0119,0.0406,0.0246,0.0021,0.0392,0.0107,-0.0359,0.0257,-0.0144,-0.0101,-0.0282,0.0018,-0.0238,-0.0434
frecuencia_viaje_anual,-0.0005,1.0,-0.0167,-0.0019,0.6741,0.0025,0.0097,-0.0594,-0.0139,-0.0188,-0.0288,-0.0052,0.4827,0.4755,0.0002,0.0026,0.0387,0.0097
distancia_media_km,-0.013,-0.0167,1.0,0.0215,0.033,-0.0073,-0.0033,0.0065,-0.0173,-0.0485,0.0139,-0.0326,-0.0242,-0.0413,0.0179,-0.0145,-0.0118,0.0445
antelacion_media_dias,0.011,-0.0019,0.0215,1.0,-0.0133,0.042,-0.0514,-0.0215,-0.0265,-0.009,0.0565,-0.0246,-0.0223,0.027,0.0075,-0.0189,0.0103,0.0104
gasto_anual_eur,0.0119,0.6741,0.033,-0.0133,1.0,-0.004,0.0124,-0.0722,-0.0005,0.012,-0.0187,-0.0301,0.3892,0.3764,-0.0077,0.0687,0.0556,-0.0086
retrasos_ultimos_12m,0.0406,0.0025,-0.0073,0.042,-0.004,1.0,-0.0401,-0.0609,0.0034,-0.0101,0.0027,-0.0221,0.0071,0.0274,-0.0255,0.0335,0.0132,0.0088
cancelaciones_ultimos_12m,0.0246,0.0097,-0.0033,-0.0514,0.0124,-0.0401,1.0,-0.0133,0.01,0.0096,0.0421,0.0183,0.0096,-0.0259,-0.0406,-0.0377,-0.001,0.0147
equipaje_medio_por_vuelo,0.0021,-0.0594,0.0065,-0.0215,-0.0722,-0.0609,-0.0133,1.0,0.031,-0.0088,0.0122,-0.0018,0.0007,-0.0561,-0.0104,-0.0236,0.033,-0.0129
no_shows_ultimos_12m,0.0392,-0.0139,-0.0173,-0.0265,-0.0005,0.0034,0.01,0.031,1.0,-0.0165,-0.0074,0.0069,-0.0277,0.0269,0.0365,0.0125,-0.0235,0.0596
satisfaccion_media,0.0107,-0.0188,-0.0485,-0.009,0.012,-0.0101,0.0096,-0.0088,-0.0165,1.0,0.0068,0.0546,-0.0027,0.0005,-0.0075,-0.0063,-0.0198,-0.0254
quejas_ultimos_12m,-0.0359,-0.0288,0.0139,0.0565,-0.0187,0.0027,0.0421,0.0122,-0.0074,0.0068,1.0,0.0278,-0.0211,-0.0184,0.0114,0.044,0.0084,-0.0449
antiguedad_programa_meses,0.0257,-0.0052,-0.0326,-0.0246,-0.0301,-0.0221,0.0183,-0.0018,0.0069,0.0546,0.0278,1.0,-0.0013,-0.0327,-0.0209,-0.0067,-0.0087,0.0315
vuelos_largo_radio_anual,-0.0144,0.4827,-0.0242,-0.0223,0.3892,0.0071,0.0096,0.0007,-0.0277,-0.0027,-0.0211,-0.0013,1.0,0.2583,-0.0398,0.0116,0.0431,0.0304
vuelos_negocio_anual,-0.0101,0.4755,-0.0413,0.027,0.3764,0.0274,-0.0259,-0.0561,0.0269,0.0005,-0.0184,-0.0327,0.2583,1.0,0.0053,0.0225,0.021,0.0067
uso_codigo_promocional,-0.0282,0.0002,0.0179,0.0075,-0.0077,-0.0255,-0.0406,-0.0104,0.0365,-0.0075,0.0114,-0.0209,-0.0398,0.0053,1.0,-0.0366,0.004,0.005
numero_maletas_max_12m,0.0018,0.0026,-0.0145,-0.0189,0.0687,0.0335,-0.0377,-0.0236,0.0125,-0.0063,0.044,-0.0067,0.0116,0.0225,-0.0366,1.0,-0.0139,0.0087
dia_preferido_viaje,-0.0238,0.0387,-0.0118,0.0103,0.0556,0.0132,-0.001,0.033,-0.0235,-0.0198,0.0084,-0.0087,0.0431,0.021,0.004,-0.0139,1.0,-0.0365
temperatura_ciudad_residencia,-0.0434,0.0097,0.0445,0.0104,-0.0086,0.0088,0.0147,-0.0129,0.0596,-0.0254,-0.0449,0.0315,0.0304,0.0067,0.005,0.0087,-0.0365,1.0
