feature,importancia
num__frecuencia_viaje_anual,0.3594615794918073
num__distancia_media_km,0.3581390654405516
num__gasto_anual_eur,0.1547060949450749
num__temperatura_ciudad_residencia,0.022260205138593493
num__antiguedad_programa_meses,0.022232772478228847
num__antelacion_media_dias,0.01249904142634357
num__edad,0.010392145205054267
num__satisfaccion_media,0.009168864198105137
num__equipaje_medio_por_vuelo,0.007487150722358251
num__cancelaciones_ultimos_12m,0.0073511850614875855
num__retrasos_ultimos_12m,0.006675773950527195
num__vuelos_largo_radio_anual,0.005744945085971296
num__quejas_ultimos_12m,0.004047831238506369
num__no_shows_ultimos_12m,0.002712430078817989
cat__aeropuerto_preferido_BCN,0.0025724438184267797
num__dia_preferido_viaje,0.002510370178635782
cat__canal_registro_Web,0.0020933440294922333
cat__aeropuerto_preferido_MAD,0.0019720218750372493
num__vuelos_negocio_anual,0.0017833515780158072
num__uso_codigo_promocional,0.001578140062923691
num__numero_maletas_max_12m,0.001483745418620894
cat__canal_registro_App,0.0006855354688283601
cat__aeropuerto_preferido_FRA,0.0006543979742079178
cat__aeropuerto_preferido_LHR,0.000609124183268491
cat__aeropuerto_preferido_LIS,0.0005192477210323029
cat__aeropuerto_preferido_CDG,0.00043467674024964245
cat__canal_registro_Agencia,0.00013193674070667452
cat__canal_registro_Telefono,9.257974912660344e-05
