feature,importancia
num__distancia_media_km,0.1820143129332909
num__frecuencia_viaje_anual,0.17417818027019066
num__gasto_anual_eur,0.1603771231606373
num__temperatura_ciudad_residencia,0.04801110106874025
num__antiguedad_programa_meses,0.04561759200597944
num__antelacion_media_dias,0.04278518105608951
num__vuelos_largo_radio_anual,0.04177551976846306
num__satisfaccion_media,0.0400410747469375
num__edad,0.039313015932377925
num__vuelos_negocio_anual,0.033878142718623695
num__equipaje_medio_por_vuelo,0.0331728011059823
num__dia_preferido_viaje,0.02285227135909113
num__retrasos_ultimos_12m,0.021077306499369473
num__numero_maletas_max_12m,0.019452127405378952
num__cancelaciones_ultimos_12m,0.016092593045524562
num__quejas_ultimos_12m,0.013847196044134561
num__no_shows_ultimos_12m,0.00912187072875876
cat__canal_registro_App,0.00742662841559154
cat__canal_registro_Web,0.007263539117579414
num__uso_codigo_promocional,0.005710965339513739
cat__aeropuerto_preferido_BCN,0.005631180937102401
cat__aeropuerto_preferido_LHR,0.005097900025289131
cat__aeropuerto_preferido_MAD,0.005001016528813631
cat__aeropuerto_preferido_LIS,0.0048176628567849
cat__canal_registro_Agencia,0.004543817375012157
cat__aeropuerto_preferido_CDG,0.004331944243076374
cat__aeropuerto_preferido_FRA,0.0038598529573020714
cat__canal_registro_Telefono,0.0027080823543648106
