variable,F_stat,p_valor,eta2
frecuencia_viaje_anual,426.37216,0.0,0.36291
gasto_anual_eur,385.37887,0.0,0.33988
vuelos_largo_radio_anual,115.19699,0.0,0.13338
vuelos_negocio_anual,114.61432,0.0,0.13279
distancia_media_km,37.37773,0.0,0.04756
cancelaciones_ultimos_12m,5.05438,0.00649,0.00671
equipaje_medio_por_vuelo,2.43026,0.08836,0.00324
antiguedad_programa_meses,2.09136,0.12388,0.00279
retrasos_ultimos_12m,1.40791,0.24498,0.00188
quejas_ultimos_12m,1.22639,0.29364,0.00164
temperatura_ciudad_residencia,1.00282,0.36709,0.00134
edad,0.85981,0.42345,0.00115
uso_codigo_promocional,0.77276,0.46192,0.00103
dia_preferido_viaje,0.76995,0.46322,0.00103
numero_maletas_max_12m,0.48735,0.61435,0.00065
satisfaccion_media,0.39083,0.67656,0.00052
no_shows_ultimos_12m,0.32579,0.72201,0.00044
antelacion_media_dias,0.16989,0.84377,0.00023
