,Basico,Frecuente,Premium
num__edad,1.0854,0.9222,0.9991
num__frecuencia_viaje_anual,0.3344,1.0412,2.872
num__distancia_media_km,0.7701,0.7315,1.7753
num__antelacion_media_dias,1.1048,0.9896,0.9146
num__gasto_anual_eur,0.5483,0.9236,1.9746
num__retrasos_ultimos_12m,1.1138,1.0329,0.8692
num__cancelaciones_ultimos_12m,1.2497,0.9271,0.8631
num__equipaje_medio_por_vuelo,1.0289,0.9954,0.9764
num__no_shows_ultimos_12m,0.9554,0.9679,1.0814
num__satisfaccion_media,0.9348,0.949,1.1272
num__quejas_ultimos_12m,1.0866,0.9927,0.927
num__antiguedad_programa_meses,0.8333,1.0202,1.1762
num__vuelos_largo_radio_anual,0.8849,1.0259,1.1015
num__vuelos_negocio_anual,0.9275,0.9608,1.1222
num__uso_codigo_promocional,1.0663,1.033,0.9078
num__numero_maletas_max_12m,1.0437,0.9819,0.9758
num__dia_preferido_viaje,0.9929,1.0394,0.969
num__temperatura_ciudad_residencia,0.9683,1.0709,0.9644
cat__canal_registro_Agencia,0.9419,0.9274,1.1448
cat__canal_registro_App,0.9121,0.9855,1.1125
cat__canal_registro_Telefono,1.0309,0.9956,0.9744
cat__canal_registro_Web,1.1279,1.1152,0.7951
cat__aeropuerto_preferido_BCN,1.1115,1.0911,0.8246
cat__aeropuerto_preferido_CDG,0.9255,0.9496,1.1379
cat__aeropuerto_preferido_FRA,1.0602,1.0879,0.867
cat__aeropuerto_preferido_LHR,1.1878,0.8478,0.993
cat__aeropuerto_preferido_LIS,0.9063,0.9504,1.1609
cat__aeropuerto_preferido_MAD,0.8508,1.1171,1.0521
