variable,VIF
edad,1.011
frecuencia_viaje_anual,2.249
distancia_media_km,1.014
antelacion_media_dias,1.013
gasto_anual_eur,1.87
retrasos_ultimos_12m,1.012
cancelaciones_ultimos_12m,1.013
equipaje_medio_por_vuelo,1.016
no_shows_ultimos_12m,1.013
satisfaccion_media,1.009
quejas_ultimos_12m,1.014
antiguedad_programa_meses,1.01
vuelos_largo_radio_anual,1.326
vuelos_negocio_anual,1.314
uso_codigo_promocional,1.009
numero_maletas_max_12m,1.016
dia_preferido_viaje,1.009
temperatura_ciudad_residencia,1.016
